method,rank_pearson,rank_ndcg10
ridge/na,2.8514851485148514,4.014851485148514
gblup/na,3.45,4.321782178217822
mlp/hybrid,5.2772277227722775,4.801980198019802
mlp/pearson,5.465346534653466,4.930693069306931
mlp/ccc,5.623762376237623,5.301980198019802
mlp/mse,6.138613861386139,5.564356435643564
cnn/ccc,6.465346534653466,7.0495049504950495
cnn/hybrid,7.217821782178218,7.356435643564357
cnn/pearson,7.930693069306931,7.905940594059406
transformer/ccc,8.571428571428571,8.918367346938776
cnn/mse,8.94059405940594,9.178217821782178
transformer/pearson,9.673469387755102,8.918367346938776
transformer/hybrid,9.877551020408163,9.204081632653061
transformer/mse,12.673469387755102,11.775510204081632
