loss,scheme,metric,n,mean,ci_lo,ci_hi,p,p_holm,p_fdr
hybrid,family,pearson,4,-0.001132995570142084,-0.005677126369336261,0.0034111352290520924,,,
hybrid,random,pearson,4,0.004020647592813953,0.0008877292924747149,0.007153565893153191,,,
pearson,cross_env,pearson,12,0.009834111405839686,0.00014552561469033056,0.02041572100290684,0.1513671875,0.1513671875,0.1513671875
pearson,family,pearson,4,-0.002978984271594834,-0.010558831644986555,0.0009503194022793954,,,
pearson,random,pearson,4,0.004087084485704939,0.0004419957006542852,0.008039603632979453,,,
pearson,within_env,pearson,4,-0.006872604836911517,-0.01973754927622741,0.0019151260430939204,,,
hybrid,family,ndcg@10,4,-0.0019352680651371634,-0.010441706617133728,0.003559417609800608,,,
hybrid,random,ndcg@10,4,0.0021943439052514724,0.0010780961478778495,0.003490926065807254,,,
pearson,cross_env,ndcg@10,12,-0.001232280050735654,-0.01328941209545978,0.007872560563580525,0.9697265625,0.9697265625,0.9697265625
pearson,family,ndcg@10,4,-0.004166095624554306,-0.00891708621964088,-0.00045612548505274964,,,
pearson,random,ndcg@10,4,0.0012157171428922864,-0.0010872117305599782,0.002628930296871418,,,
pearson,within_env,ndcg@10,4,-0.0037202892192669534,-0.01411905426876725,0.006678475830233344,,,
hybrid,family,overlap@10,4,-0.018978937728937738,-0.037179487179487165,-0.0004120879120879384,,,
hybrid,random,overlap@10,4,0.007499999999999937,-0.0036363636363636598,0.018636363636363534,,,
pearson,cross_env,overlap@10,12,0.00416666666666667,-0.011111111111111105,0.02083333333333333,0.546875,0.546875,0.546875
pearson,family,overlap@10,4,-0.007886904761904769,-0.02588141025641024,0.008768315018315015,,,
pearson,random,overlap@10,4,0.005909090909090864,-0.0013636363636364002,0.013863636363636314,,,
pearson,within_env,overlap@10,4,0.016666666666666663,0.008333333333333304,0.027083333333333362,,,
hybrid,family,releff@10,4,-0.0035794933353945624,-0.02861524283393896,0.015096846078332005,,,
hybrid,random,releff@10,4,0.008444124167888784,0.005367008890199532,0.011940452753607195,,,
pearson,cross_env,releff@10,12,-0.013377816333878134,-0.03715605886794684,0.014700661627087087,0.33935546875,0.33935546875,0.33935546875
pearson,family,releff@10,4,-0.007279555498740417,-0.03126136719491421,0.004986861457748418,,,
pearson,random,releff@10,4,0.005174369510168503,-0.0013263453411662962,0.012561896886620072,,,
pearson,within_env,releff@10,4,-0.0005020660011592071,-0.030881786828280466,0.04217130528828052,,,
